ext_id,card_title,description,rating,source,deck
11,Animal Holder," I’m a fan of all of the 1/2/3/4 wood occupations, and this is no exception. It’s usually harder to predict the Animal Holder’s bonus early in the game than the bonus of some EIK cards, like Village Elder or Reeve, but still potentially a nice play early or late. ",3,https://boardgamegeek.com/thread/604332/stategic-review-new-g-deck-occupations,D (K)
12,Animal Keeper,"Animal Keeper The best case scenario is if you craft a single large 2x2 pasture with a stable
in it. Then you'll be able to house all the animals you could ever want. In
this outstanding case, what has he saved you? About 2 wood! Let me explain. It is very rare to have more than 4 of each animal. Even in a
game where a person is able to achieve a lot of animals, pressures for food
will cause them to eat quite a few. As a result, you could have just used 2
wood to split the megapasture down the middle. This should allow you to keep a
fair amount of 2 different animals, with a single one of the third animal
taking up the space in your house. Sure, you might lose a few sheep by having
to eat them early, but this will usually only cost about a point in scoring: a
point that is regained by the extra pasture you'll have at the end of scoring. Obviously 1F1A in exchange for 2 wood is a terrible deal. This occupation is
never playable - you're better off just taking 3 more wood.",1,https://boardgamegeek.com/thread/436563/card-card-full-review-occupations-agricola-v111,D (E-K)
13,Animal Pen,"Animal Pen Animal Pen I've seen this card hang a lot of newer players
who try to get this thing out as early as possible, no matter what their hand
is. Don't be that guy. If you have to play 2 occupations you didn't really want
to get out, it's probably not worth it because it neglects family growth. On
the other hand, if you're lucky enough to have 3 - 4 early game occupations
that you wanted to get out anyway, this play can be a backbreaker. The card gets much stronger if you are doing some
sort of drafting, as it combos almost unfairly well with the Patron, Academic
and Perpetual Student. With drafting you're also more likely to have four early
game occupations that you actually want to play.",3,https://boardgamegeek.com/thread/458895/card-card-full-review-improvements-agricola-v105,I (K) - E (C)
14,Animal Tamer,"Animal Tamer Playing him immediately gives you an extra stable and quickly becomes an extra
pasture after that (sans VPs). Usually worth it if you plan to get to 4 rooms
or more, since it lets you avoid spending precious wood and actions on early
fences/stables. Instead, you get to do what you want to do anyway - build more
rooms!",3,https://boardgamegeek.com/thread/436563/card-card-full-review-occupations-agricola-v111,D (E-K)
15,Animal Trainer,"Animal Trainer Compares hideously to the Animal Breeder. The best scenario I can think of is
waiting for the TP spot to get to 4, then taking it and making 2 boar before
the second harvest. This is probably the most easily deniable plan in the game
- as long as one of your opponents isn't an idiot, they'll take the TP spot at
3 food and make you waste the action you used to play your stupid occ. The
other possible plan - taking TP at 3 twice for 2 cattle - is also hideously
inefficient. If you're not using the occ to get animals earlier than you otherwise could,
it's worthless. You don't need an occupation to just wait for the boar spot to
get to 2 boar and take that.",1,https://boardgamegeek.com/thread/436563/card-card-full-review-occupations-agricola-v111,D (E-K)
16,Animal Yard,"Animal Yard Animal Yard Along with being a half cost pasture, the SP
attached lets you snipe a breeding pair of animals from your opponents. With a
trivial prerequisite and a cheap cost, I play this every time I get it. It's
easily one of the best improvements in the deck.",5,https://boardgamegeek.com/thread/458895/card-card-full-review-improvements-agricola-v105,I (K) - E (C)
17,Apprentice," Very strong with an aggressive Majors buying strategy. In combination with cards like Guildmaster or Manufacturer, this can give you 15 or more food. Remove Apprentice if you are playing FotM. ",3,https://boardgamegeek.com/thread/604332/stategic-review-new-g-deck-occupations,I (K)
18,Architect," Relatively weak. Unless you’re going to build at least 3 rooms and some stables, the food bonus just isn’t worth it, usually. Nice with discounters or other cards that encourage building rooms and stables. Much stronger in 2-player games. ",2,https://boardgamegeek.com/thread/604332/stategic-review-new-g-deck-occupations,G (K)
19,Artisan," Similar to Apprentice. While Apprentice rewards mass buying of Majors, Artisan rewards you for focusing on one. With this and Pottery or Basketmaker’s Workshop, you are set on food. ",3,https://boardgamegeek.com/thread/604332/stategic-review-new-g-deck-occupations,I (K)
20,Astronomer," Pretty weak, but worth playing just for the fun factor. If you can string together a 5-point round with Astronomer, your opponents have probably fallen asleep at the wheel. ",1,https://boardgamegeek.com/thread/604332/stategic-review-new-g-deck-occupations,G (C)
21,Auctioneer," Very hard to evaluate the strength of the Auctioneer, since its payout depends so heavily on your opponents. The turn order tie-break is very important. ",2,https://boardgamegeek.com/thread/604332/stategic-review-new-g-deck-occupations,E (C)
22,Axe,"Axe Axe The Axe's power varies wildly depending on the
number of players. In 2-p, it can be very awkward, since usually you have to
wait for the stone spot to appear in stage 2 before you can play it. In 3-p,
it's somewhat easier to play (you can just rawdog the crappy wildcard resource
spot), but the benefit it gives is reduced by the crushingly small amount of
reed available. In 4-p the card becomes very powerful because of the RSF spot,
and in 5-p it becomes an unquestionable 5 star card due to the 1S1W + R spot. In any case, the Axe is fantastic once you get it
out; you will usually be able to get to 4+ rooms with it. If you build 3 wooden
rooms, you are saving 8W. That's obscene.",4,https://boardgamegeek.com/thread/458895/card-card-full-review-improvements-agricola-v105,I (K) - E (C)
23,Bakehouse,"Bakehouse Bakehouse I often try to get this out if I have a clay oven.
3 VP for 3 stone is already a reasonable deal (it's more efficient than
renovation and only slightly less efficient than the Well), and you get the
most unholy powerful bake action known to man. Just keep in mind that you're
going to need other incentives to go baking; this is a nice bonus, but not
enough on its own.",3,https://boardgamegeek.com/thread/458895/card-card-full-review-improvements-agricola-v105,I (K) - E (C)
24,Baker,"Baker True to his name, this is one of the best occupations for Baking in the game.
Assuming you play him with an oven and two grain fields, you should never go
hungry. The strength of this Occ varies depending on the number of players in the game.
In a 2-p game, baking strategies are horrible. For one thing, there is no early
way to get stone. For another, there are so many animals in a 2er that you not
only want them for yourself, but want to prevent your opponent from having all
of them! In a 3-p, baking is still pretty bad due to the lack of early stone,
but often the Baker is powerful enough to merit playing him anyway. In 4-p and 5-p, baking is viable enough to make the Baker a strong incentive to
bake.",4,https://boardgamegeek.com/thread/436563/card-card-full-review-occupations-agricola-v111,B (E-G)
25,Baker’s Daughter," One of the weakest G cards, I’ve seen it go undrafted in a game where both Baker and Master Baker were passed around. Best use usually will be to ensure you can bake late in the game. Could be nice insurance with the right combo. ",1,https://boardgamegeek.com/thread/604332/stategic-review-new-g-deck-occupations,F (K)
26,Baker's Kitchen,"Baker's Kitchen Baker's Kitchen This is almost an identical card to the Bakehouse,
except it's easier to get out and gives one less VP. Overall a slightly better
card.",3,https://boardgamegeek.com/thread/458895/card-card-full-review-improvements-agricola-v105,I (K) - E (C)
27,Baker's Oven,"Baker's Oven Baker's Oven Obviously the best of the three Baker's
improvements. You know what's better than 2VP for 2 stone? 1VP for no stone!
Unlike the other two cards, this is a genuine incentive to go baking, as you
will always be able to play this easily, ensuring you crucial bake actions at
godly efficiency.",4,https://boardgamegeek.com/thread/458895/card-card-full-review-improvements-agricola-v105,E (C)
28,Baking Tray,"Baking Tray Baking Tray In 2-p and 3-p this card is amazing, and sometimes
enough incentive for me to go baking all by itself. Saving you the early stone
you need to get the Clay Oven is crucial, and being able to buy the oven with
SP is fantastic as well. Since no one is likely to compete with you for the
oven in 2-p and 3-p, you can plan around it. In 4-p and 5-p the value drops a bit, since
getting the early stone is less crucial. Moreover, you are more likely to have
competition for the clay oven, which makes the baking tray a riskier play
(since it tips your hand). However, in any case it is a solid improvement
that's usually worth the 1W if you plan on baking.",4,https://boardgamegeek.com/thread/458895/card-card-full-review-improvements-agricola-v105,E (C)
29,Bard," Worth comparing to Charcoal Burner, Street Magician and Puppeteer, Bard is far weaker than any of them. Against good opponents, you can expect this to pay 3 times, maybe. Only worth playing if someone drops a Traveling Players combo. ",1,https://boardgamegeek.com/thread/604332/stategic-review-new-g-deck-occupations,I (C)
30,Basin Maker,"Basin Maker This card is a joke. Not only do you have to have boar lying around for the
card to even work, converting 4 wood into 2 victory points is not even a good
deal - you can do the same thing just by building a pasture!",1,https://boardgamegeek.com/thread/436563/card-card-full-review-occupations-agricola-v111,B (E-G)
31,Basket,"Basket Basket AlexFrog loves this card, saying that it is
extremely strong in a 2-p. In 2-p, he argues, reed is so important that often
it is almost correct to take 1R. From there, the game can get very hateful,
with your opponent often trying to starve you out in response to your reed
denial. This is where the Basket can really shine. 3f + 1W
is an incredible deal in 2-p, since food becomes crushingly tight in
competitive heads up play. Moreover, often you are not 'giving up'
the two wood, because you can often just take SP and then take wood again for
your first action! In other modes, the card is pretty horrible. The
increased number of players means it is less likely that you are going to have
the stacked wood get back to you. Moreover, food is much less important in the
other modes than in 2-p.",2,https://boardgamegeek.com/thread/458895/card-card-full-review-improvements-agricola-v105,I (K) - E (C)
32,Basketmaker,"Basketmaker Why are you eating your reed? That was supposed to be used for your house! Has
some utility in 5 player if the other players let the 2 reed square stack for
you (i.e. they are undervaluing reed), but in 4 player, reed is usually far too
scarce to bother with the card.",2,https://boardgamegeek.com/thread/436563/card-card-full-review-occupations-agricola-v111,B (E-G)
33,Basketmaker's Workshop,"Basketmaker's Workshop Basketmaker's Workshop My group affectionately calls this the
'Reedery.' In general, the Joinery, Pottery and Reedery are all
somewhat clunky - the early stone makes them prohibitively expensive to buy as
early sources of food, and games of Agricola usually are balanced to prevent
you from easily massing resources for the bonus points (with the exception of
clay in 5-p). However, their mere presence affects the game
tremendously, because it means that there is always always an incentive to deny your opponents from a resource
they need but you don't. While often this implicit threat is never followed up
on, the threat is always there. Although the Pottery can be very strong in larger
games, I've found the Basketmaker's Workshop to be the best overall. The extra
food per harvest is important when it comes to justifying the action used to
buy it. In 2-p, it is sometimes possible to deny your opponent reed for the
entire early game, shutting down their family growth. The Reedery is an
excellent way to actually use that reed. In 4-p, the card is helped
tremendously by the RSF spot. Just take RSF twice and you are good to go.",3,https://boardgamegeek.com/thread/458895/card-card-full-review-improvements-agricola-v105,I (K) - E (C)
34,Beanfield,"Beanfield Beanfield The prerequisite should pretty much always be met
by the time you want to plant vegetables. One VP minor improvements for no cost
are usually worth it every game, and the fact that the Beanfield has a
genuinely useful ability makes it a must play once you've got 2 occs out.",4,https://boardgamegeek.com/thread/458895/card-card-full-review-improvements-agricola-v105,I (K) - E (C)
35,Beehive,"Beehive Beehive The prerequisite is no picnic, but sometimes my
occupations are good enough that I eventually get this guy out. When that
happens, I get about 4 food - that's pretty good for a 1 VP card that cost me
nothing. This usually isn't worth rushing, as the 2
improvement requirement should slow you down quite a bit. Also, the effect
isn't large enough to generally be worth it.",3,https://boardgamegeek.com/thread/458895/card-card-full-review-improvements-agricola-v105,I (K) - E (C)
36,Berry Picker,"Berry Picker An extremely annoying card - I've taken to calling myself 'berry-picked' in
games where someone plays this or the Mushroom Collector and spends every round
taking wood. However, this card is not quite as strong as it seems. Ultimately, it's worth
about 5 or 6 food by the end (assuming they take wood 6 or 7 times), which is
only passable given that the food is delivered over time. What makes the card
seem stronger than it actually is is that it causes newer players to value the
wood spots correctly. In 5-p, the Berry Picker can be used to spam the WSR spot, giving it added
utility.",3,https://boardgamegeek.com/thread/436563/card-card-full-review-occupations-agricola-v111,C (E-K)
37,Boar Breeding,"Boar Breeding Boar Breeding I rarely find myself comboing this card with other
boar cards to get early boar, simply because there aren't too many early boar
cards that are worth playing. This card has the most use if you are baking and
don't plan on ever taking boar. 2 VP and starting player for 1 food is a decent
deal. If you are a rancher, you're usually just spending 1 food to get 3 food -
not that great a deal.",2,https://boardgamegeek.com/thread/458895/card-card-full-review-improvements-agricola-v105,I (K) - E (C)
38,Bookshelf,"Bookshelf Bookshelf 1W for 1VP is an ok deal by itself, so this
doesn't need to give a huge benefit to be worth it. You won't always be in a
situation where you have played three occupations and plan on playing another,
but if you are this is usually worth it. It can get very silly when comboed
with cards like the Educator or Perpetual Student.",2,https://boardgamegeek.com/thread/458895/card-card-full-review-improvements-agricola-v105,I (K) - E (C)
39,Braggart,"Braggart 9 points? NINE POINTS! This card can easily win you the game by itself, and is the most common way
I've seen players score higher than 60 points. Harnessing the Occ's power is no
cakewalk, but when correctly played with the right combination of cards, this
is pretty much unstoppable. I admit my rating scale breaks down a bit here - if you only look at the
percentage of time he is playable, he is probably a three star card. However, I
give the extra star simply because of his raw power - he's engineered more flat
out blowouts and unreal comebacks than any other card I can think of. The card is also easily a 5 star card in draft, where you can tailor your hand
to include many cheap improvements.",4,https://boardgamegeek.com/thread/436563/card-card-full-review-occupations-agricola-v111,G (I-K)
40,Bread Paddle,"Bread Paddle Bread Paddle Bake bread actions are always valuable, and it's
sometimes hard to maximize the efficiency of the Sow/Bake Bread action.
Sometimes, you just want to bake bread. Unfortunately, triggering off of occupations is
undeniably awkward; by the time you actually need that baking action, you
should be in at least the third stage. By then, most of your actually good
occupations should already be on the table. Still, while it's a clunky
solution, it's still a solution.",2,https://boardgamegeek.com/thread/458895/card-card-full-review-improvements-agricola-v105,I (K) - E (C)
41,Bread Seller,"Bread Seller Pretty much worthless if only one person is baking bread, and given the
difficulty in acquiring the stone oven, this is almost always the case. One argument I've heard for him is that it turns your Cooking Hearth into an
unlimited Stone Oven. The main problem with this line of thought is that you
are going to need to be baking a LOT before the food bonus this guy gives
becomes worth the 1F1A. How often do you actually find yourself baking 6+
grain?",2,https://boardgamegeek.com/thread/436563/card-card-full-review-occupations-agricola-v111,G (I-K)
42,Brewery,"Brewery Brewery You are going to need tons of grain for this to be
a good play, and even then the stone will prevent you from getting it out
anywhere close to the early game. However, if you've got something like the
Grain Cart or Fieldsman, you should probably go ahead and play it sometime in
the mid to late game. It should be worth a few food and 2-3 victory points
depending on just how insane your grain engine is.",2,https://boardgamegeek.com/thread/458895/card-card-full-review-improvements-agricola-v105,I (K) - E (C)
43,Brian J. Hotovec,"Brian J. Hotovec @GorthraxtheBeast 1A to play him, 1A to get 6 clay mid-game and that nets you 5 food over
three harvests. You generally have better things to do than 5 food over time.",2,https://boardgamegeek.com/thread/436563/card-card-full-review-occupations-agricola-v111,H (K-E)
44,Bricklayer,"Bricklayer This card's value fluctuates erratically as you change the number of players.
In 2-p, this should give you about 4 or 5 clay if you have the right kind of
hand. Since clay is a genuinely scarce resource (see this thread this thread )
in 2-p, this is reasonably valuable. In 3-p and 4-p, the Bricklayer is very bad
- clay is plentiful enough for pretty much all of the clay related improvements
you could want. In 5-p, the value rises again - there is so much clay in the
game that clay rooms become a real possibility. In such a situation, the occ
could be worth as much as 8-9 clay over time. That's a good deal.",3,https://boardgamegeek.com/thread/436563/card-card-full-review-occupations-agricola-v111,B (E-G)
45,Broom,"Broom Broom Of all the minor improvements in the game, the
Broom and the Reed Hut are probably the closest to being actually broken. While
drawing cards clearly isn't as strong in Agricola as it is in a game like
Magic: the Gathering, the 'draw 7' vibe still harkens back to several
ridiculously overpowered cards in MtG's history. Interestingly enough, this is one of the few cards
that gets substantially weaker weaker if you employ some sort of drafting. For obvious
reasons, it's usually a good idea to play the Broom after after you've played all of the desirable improvements in your
starting hand. If you've been drafting, that should take longer than if you
started with 7 random cards. Still, even with drafting, God help the poor souls
who have to play against someone that's drawn this and the Braggart.",5,https://boardgamegeek.com/thread/458895/card-card-full-review-improvements-agricola-v105,I (K) - E (C)
46,Brush Maker,"Brush Maker If you only get 2 bonus points from this guy, he is a wasted action. You would
have been better off plowing a field! So if you play this guy, you are looking
to get the max VPs. Slaughtering 4 wild boar is a lot - you're never going to max boar if you
slaughter 4 of them. What this means is that, by sacrificing the boar to the
Brush Maker, you're not even really gaining points - you're going to lose
points for having fewer boar. Thus, the real purpose of this card is to be able
to slaughter boar for food without having to worry about losing points for not
having them. But if food is your priority, what are you doing wasting a food
and an action? Furthermore, cards you need to play early that eventually grant VPs are
fundamentally weak in Agricola. They need to be played when you need actions
the most and then give you nothing until the end of the game - not a good idea
when your actions are supposed to have a snowballing effect.",1,https://boardgamegeek.com/thread/436563/card-card-full-review-occupations-agricola-v111,B (E-G)
47,Brushwood Collector,"Brushwood Collector This guy is unreal strong in 3-p, when reed is extremely tight. He gets weaker
with more players as reed gets progressively easy to obtain, but will still
have a place if you are able to find a way to get some extra wood.",3,https://boardgamegeek.com/thread/436563/card-card-full-review-occupations-agricola-v111,D (E-K)
48,Brushwood Roof,"Brushwood Roof Brushwood Roof The lack of a VP hurts, and sometimes wood is just
as hard to get as reed. Also, you won't always have time to play occupations
before you want to build rooms the first time, which is when this card's effect
is strongest. Still, being able to avoid the reed race and focus on denying
wood can catch your opponents off-balance.",3,https://boardgamegeek.com/thread/458895/card-card-full-review-improvements-agricola-v105,I (K) - E (C)
49,Builder's Trowel,"Builder's Trowel Builder's Trowel I find myself skipping this a lot of the time. I
don't like paying 1W for something I could have done for free, and the fact
that you can't play a major improvement along the way further reduces the
card's efficiency. Sometimes you'll look at your hand after you FG and have
nothing better to play, but you're not losing much value by just keeping it in
your hand. The value of the card goes up, however, if you
plan on playing an occupation that requires you to renovate to clay quickly.
It's also slightly better in larger games, where getting blocked from
renovation becomes more of an issue.",3,https://boardgamegeek.com/thread/458895/card-card-full-review-improvements-agricola-v105,I (K) - E (C)
50,Building Material,"Building Material Building Material Even though this looks extremely weak, it's
actually a fine card. Sometimes you really need SP and have nothing else to
play. The flexibility of whether you get a clay or a wood is also nice. Also,
the fact that it looks looks so bad means that the person you pass it to is less
likely to take SP with it any time in the near future. Like all the 'pass to the left' cards,
however, this can be a bit pointless in 2-p. Sometimes your opponent will
simply retake SP with it and get pretty much an identical benefit, leaving you
about where you started.",3,https://boardgamegeek.com/thread/458895/card-card-full-review-improvements-agricola-v105,I (K) - E (C)
51,Businessman,"Businessman The main draw of the SP + 1 minor improvement space is seldom the minor
improvement, but the fact that you get starting player. Playing 2 minor
improvements effectively decreases the number of times you can take starting
player by 1, which is often a bad idea. However, sometimes you will have a very
strong hand of minor improvements, and will want to get them out as fast as
possible. The main appeal comes if in the major improvement clause. Getting a major
improvement along with your minor will often save you a full action!
Particularly if you've got a strong hand of minors to go with him, this can
make the Businessman extremely efficient. Generally, this occ will be most powerful in large games, where Cooking Hearths
are limited and often there is a scramble to get them. This guy can help you
win that race, first by getting an early sheep-eating fireplace without having
to depend on the Major improvement spot coming out, and second by giving you a
free Cooking Hearth when you take SP later on.",3,https://boardgamegeek.com/thread/436563/card-card-full-review-occupations-agricola-v111,G (I-K)
52,Businesswoman," The last addition to the G deck is one of its nicest occupations. Businesswoman won’t win the game for you, but it’s almost always worth having. Great for buying the first fireplace, for getting Majors when your opponents don’t expect it, and for playing high-prerequisite Minors like Animal Pen. ",4,https://boardgamegeek.com/thread/604332/stategic-review-new-g-deck-occupations,G (C)
53,Butcher,"Butcher If you want to seriously go for animals, you are going to want more efficient
cookery. If you don't, you probably only plan on eating animals two or three
times, making this guy only worth 4-5 food - 4-5 food that you have to spend
further actions getting! You're better off just taking 'Day Laborer' twice, and that is a pretty damning
statement.",1,https://boardgamegeek.com/thread/436563/card-card-full-review-occupations-agricola-v111,G (I-K)
54,Butter Churn,"Butter Churn Butter Churn 2W is a little too much for what this does. It's
pretty rare to be lucky enough to have a bunch of cattle AND sheep, so most of
the time this will play like an overcosted spindle.",2,https://boardgamegeek.com/thread/458895/card-card-full-review-improvements-agricola-v105,I (K) - E (C)
55,Cabinet Maker,"Cabinet Maker Not great. While 2 food for 1 wood is an OK deal, spending 1F1A just for the
privilege of an 'OK' deal is not a good idea. Furthermore, wood is too precious
in the early game to be burning on food. This compares unfavorably to Mushroom
Collector, which does the same thing multiple times per harvest. One interesting difference between the two is that with the Cabinet Maker, the
wood you convert to food is vaporized, whereas the Mushroom Collector leaves it
behind for someone else to take. This is actually a downside, as if you're
converting wood to food, you actually want there to be more wood in the game.",2,https://boardgamegeek.com/thread/436563/card-card-full-review-occupations-agricola-v111,B (E-G)
56,Canoe,"Canoe Canoe You won't always have 2 Occupations to play in the
early game, which will often delay playing this to the point that it's not
worth it anymore. Still, 1F and 1R is a nice benefit, even if you're unlikely
to take fishing more than twice.",2,https://boardgamegeek.com/thread/458895/card-card-full-review-improvements-agricola-v105,E (C)
57,Carp Pond,"Carp Pond Carp Pond The prerequisites should be trivially easy to meet
by the midgame, and free 1VP minors that give some small benefit are always
worth playing. You should probably get used to me saying that, because this
isn't the last time you're going to hear it.",5,https://boardgamegeek.com/thread/458895/card-card-full-review-improvements-agricola-v105,I (K) - E (C)
58,Carpenter,"Carpenter If you build 3 rooms before renovating, he's worth 6 conditional wood - an OK
but not fantastic deal given that the wood is delivered over time and that
you're forced to use it on a specific thing. Given how rarely people actually
build 3 rooms in the first place (usually reed is too scarce), this won't come
up too often. If you only build two rooms, 4 wood for 1F1A is ok, I guess. However, the
4/3/2/1 wood occupations all give 4 wood the moment you play them, not just
when you build your 4th room (which, depending on how the game is going, might
take a while). Furthermore, the wood those occs give is no strings attached -
you're not required to use it to build rooms. In my experience all of the
4/3/2/1 occs are playable, but they're by no means must-plays. Since the
Carpenter is almost strictly worse if you're only building 2 rooms, he's
probably not worth it in that case. It's true that he can be used to reduce the cost of clay rooms and stone rooms
as well as Wooden Rooms. However, I think clay and stone rooms are mostly a
corner case - most rooms are wood, a few are clay, and almost none are stone
(the Well tends to be a much more efficient way to get points). Moreover, in
cases where you actually want to build clay rooms, clay is probably common enough
that 2 clay and 2 wood isn't much better than 4 wood.",2,https://boardgamegeek.com/thread/436563/card-card-full-review-occupations-agricola-v111,B (E-G)
59,Carrot Cake Baker," Pretty weak, simply because of the number of vegetables and grain it would require to make it a worthwhile food engine. If you have enough vegetables to convert them to food, why bother baking? On the other hand, Carrot Cake Baker is a component in the silliest combo in G. ",1,https://boardgamegeek.com/thread/604332/stategic-review-new-g-deck-occupations,K (C)
60,Carrot Farmer," A nice way to get vegetables going. Play early for some sort of veggie combo, or late just for the points. ",3,https://boardgamegeek.com/thread/604332/stategic-review-new-g-deck-occupations,C (C)
61,Cattle Breeder,"Cattle Breeder Obviously you are playing the card for the 1 cattle - the possible second
cattle in round 12 is a distant bonus. This is worth it if you have some other
way to get early cattle (i.e. the Cattle Whisperer) that let's you breed them
before the second harvest. Otherwise, not so much. In 5-p this can be comboed with the square that gives you one cow if you pay 1
food.",2,https://boardgamegeek.com/thread/436563/card-card-full-review-occupations-agricola-v111,D (E-K)
62,Cattle Market,"Cattle Market Cattle Market This is almost never worth playing. Obviously the
temptation here is to try to get early cattle with this, but if you have a
sheep to give to this, it's probably more efficient to just breed the sheep you
spent an action taking (you didn't just take ONE sheep, did you?). Yes, I'm
aware of the animal spot in 5-p. Even then, taking 1 sheep, then trading it for
a cow, and then taking a cow just seems like a waste of time. Why don't you
just take 1 cow twice? The only use this card tends to have is as a bad,
highly conditional horse. If you have some awkward number of sheep near the end
of the game and haven't managed to get cattle, go ahead and play it.",1,https://boardgamegeek.com/thread/458895/card-card-full-review-improvements-agricola-v105,I (K) - E (C)
63,Cattle Whisperer:,"Cattle Whisperer: We have a house rule that whenever someone plays this card, they have to put
their finger on their mouth and say, 'Shhhhhhh!' His value is slightly worse than the Cattle Breeder, since you have to play him
earlier.",2,https://boardgamegeek.com/thread/436563/card-card-full-review-occupations-agricola-v111,#N/A
64,Ceramics,"Ceramics Ceramics This is a pet favorite. One clay for 2 food isn't
even that bad a deal by itself (see: the Potter), and then later you can retake
SP with a free 2VP improvement to go with it. Not only is this a must-play if
you have an oven, it should actually be a small incentive to go baking.",3,https://boardgamegeek.com/thread/458895/card-card-full-review-improvements-agricola-v105,I (K) - E (C)
65,Chamberlain:,"Chamberlain: This guy is extremely strong - for 1F1A, he lets you have free reign of the
most powerful squares in the game before anyone else can get them. This not
only ensures that you can't be blocked from Plow/Sow and FG w/o, the fact that
you get them a full turn early will often jump start your farm.",5,https://boardgamegeek.com/thread/436563/card-card-full-review-occupations-agricola-v111,#N/A
